name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions,clearances,headed clearance
 Troy Deeney,13.0,0.34,3.0,10.0,0.0,6.0,0.0,94.0,32.0,0.34,1.0,3.0,7.0,1289.0,33.92,12.0,27.0,6.0,0.0,50.0,18.0,49.0,34.0,17.0,48.0,34.0
 Olivier Giroud,16.0,0.42,7.0,1.0,8.0,1.0,0.0,101.0,43.0,0.43,3.0,13.0,6.0,839.0,22.08,9.0,25.0,2.0,0.0,40.0,26.0,34.0,21.0,10.0,26.0,17.0
 Harry Kane,25.0,0.66,1.0,19.0,5.0,5.0,0.0,158.0,75.0,0.47,7.0,18.0,1.0,962.0,25.32,4.0,44.0,5.0,0.0,42.0,30.0,29.0,34.0,21.0,31.0,17.0
 Odion Ighalo,15.0,0.41,1.0,11.0,3.0,0.0,0.0,109.0,48.0,0.44,2.0,17.0,3.0,722.0,19.51,1.0,15.0,4.0,0.0,47.0,27.0,27.0,24.0,15.0,27.0,15.0
 Romelu Lukaku,18.0,0.49,4.0,4.0,10.0,1.0,0.0,118.0,48.0,0.41,7.0,18.0,6.0,1098.0,29.68,8.0,31.0,3.0,0.0,30.0,16.0,13.0,32.0,0.0,5.0,4.0
 Sadio Mané,11.0,0.3,1.0,6.0,4.0,0.0,0.0,86.0,34.0,0.4,1.0,12.0,6.0,964.0,26.05,9.0,68.0,4.0,2.0,44.0,27.0,54.0,21.0,35.0,14.0,6.0
 Shinji Okazaki,5.0,0.14,1.0,3.0,1.0,0.0,0.0,46.0,12.0,0.26,2.0,7.0,0.0,542.0,15.06,2.0,9.0,1.0,0.0,31.0,8.0,37.0,12.0,15.0,6.0,3.0
 Jamie Vardy,24.0,0.67,2.0,18.0,4.0,5.0,0.0,115.0,53.0,0.46,6.0,22.0,6.0,625.0,17.36,11.0,49.0,5.0,1.0,42.0,26.0,35.0,22.0,18.0,7.0,4.0
 Willian,5.0,0.14,0.0,4.0,1.0,0.0,2.0,60.0,20.0,0.33,0.0,2.0,6.0,1500.0,42.86,9.0,233.0,5.0,0.0,27.0,3.0,42.0,19.0,20.0,5.0,1.0
 Marko Arnautovic,11.0,0.32,0.0,9.0,1.0,3.0,0.0,70.0,22.0,0.31,4.0,10.0,6.0,1081.0,31.79,11.0,56.0,2.0,0.0,49.0,32.0,53.0,12.0,28.0,14.0,2.0
 André Ayew,12.0,0.35,4.0,1.0,7.0,0.0,1.0,67.0,27.0,0.4,2.0,7.0,2.0,1056.0,31.06,3.0,23.0,5.0,0.0,35.0,9.0,55.0,13.0,23.0,13.0,9.0
 Cameron Jerome,3.0,0.09,0.0,3.0,0.0,0.0,0.0,46.0,11.0,0.24,1.0,12.0,2.0,405.0,11.91,0.0,18.0,2.0,0.0,36.0,22.0,11.0,7.0,6.0,11.0,5.0
 Aleksandar Mitrovic,9.0,0.26,4.0,4.0,1.0,2.0,0.0,79.0,30.0,0.38,2.0,8.0,4.0,721.0,21.21,1.0,7.0,4.0,2.0,50.0,16.0,24.0,18.0,7.0,32.0,25.0
 Ayoze Pérez,6.0,0.18,0.0,5.0,1.0,0.0,0.0,50.0,16.0,0.32,0.0,3.0,2.0,588.0,17.29,4.0,73.0,4.0,0.0,35.0,5.0,56.0,13.0,28.0,13.0,6.0
 Salomón Rondón,9.0,0.26,4.0,3.0,1.0,0.0,0.0,71.0,21.0,0.3,1.0,7.0,2.0,630.0,18.53,2.0,32.0,1.0,1.0,35.0,26.0,9.0,17.0,14.0,45.0,27.0
 Dusan Tadic,7.0,0.21,0.0,2.0,5.0,1.0,0.0,56.0,16.0,0.29,1.0,4.0,12.0,872.0,25.65,12.0,201.0,2.0,0.0,25.0,9.0,37.0,19.0,24.0,18.0,2.0
 Wilfried Zaha,2.0,0.06,0.0,2.0,0.0,0.0,0.0,32.0,9.0,0.28,1.0,3.0,1.0,554.0,16.29,6.0,118.0,5.0,0.0,40.0,8.0,46.0,9.0,26.0,7.0,2.0
 Jermain Defoe,15.0,0.45,0.0,12.0,3.0,1.0,0.0,85.0,39.0,0.46,1.0,7.0,1.0,425.0,12.88,2.0,13.0,3.0,0.0,17.0,43.0,17.0,26.0,2.0,2.0,0.0
 Bafétimbi Gomis,6.0,0.18,0.0,5.0,1.0,1.0,0.0,59.0,17.0,0.29,2.0,6.0,0.0,509.0,15.42,4.0,3.0,0.0,0.0,17.0,38.0,7.0,15.0,6.0,19.0,12.0
 Rudy Gestede,5.0,0.16,3.0,1.0,1.0,0.0,0.0,61.0,18.0,0.3,2.0,6.0,2.0,597.0,18.66,2.0,2.0,2.0,0.0,24.0,6.0,11.0,11.0,6.0,29.0,16.0
 Roberto Firmino,10.0,0.32,1.0,6.0,3.0,0.0,0.0,63.0,25.0,0.4,4.0,6.0,7.0,998.0,32.19,9.0,38.0,1.0,0.0,29.0,15.0,67.0,17.0,16.0,12.0,7.0
 Saido Berahino,4.0,0.13,0.0,3.0,1.0,0.0,0.0,35.0,11.0,0.31,1.0,7.0,0.0,457.0,14.74,1.0,22.0,0.0,0.0,18.0,10.0,18.0,11.0,7.0,1.0,1.0
 Eden Hazard,4.0,0.13,0.0,4.0,0.0,0.0,0.0,36.0,14.0,0.39,0.0,1.0,3.0,1415.0,45.65,3.0,44.0,2.0,0.0,15.0,10.0,21.0,11.0,13.0,4.0,3.0
 Joshua King,6.0,0.19,0.0,6.0,0.0,0.0,0.0,54.0,20.0,0.37,1.0,2.0,2.0,444.0,14.32,6.0,24.0,1.0,0.0,37.0,16.0,29.0,15.0,9.0,12.0,9.0
 Anthony Martial,11.0,0.35,1.0,6.0,4.0,0.0,0.0,57.0,25.0,0.44,1.0,3.0,4.0,923.0,29.77,8.0,49.0,2.0,0.0,40.0,17.0,21.0,13.0,9.0,18.0,8.0
 Raheem Sterling,6.0,0.19,1.0,5.0,0.0,0.0,0.0,52.0,22.0,0.42,0.0,6.0,2.0,846.0,27.29,2.0,58.0,1.0,0.0,26.0,5.0,34.0,16.0,16.0,3.0,2.0
 Sergio Agüero,24.0,0.8,5.0,16.0,3.0,4.0,0.0,119.0,52.0,0.44,4.0,16.0,2.0,727.0,24.23,5.0,20.0,1.0,0.0,20.0,27.0,15.0,26.0,6.0,0.0,0.0
 Jordan Ayew,7.0,0.23,1.0,6.0,0.0,1.0,0.0,59.0,21.0,0.36,2.0,1.0,0.0,800.0,26.67,4.0,43.0,6.0,1.0,48.0,10.0,40.0,21.0,23.0,8.0,5.0
 Graziano Pellè,11.0,0.37,5.0,5.0,1.0,0.0,0.0,81.0,25.0,0.31,2.0,4.0,6.0,872.0,29.07,6.0,19.0,6.0,0.0,40.0,16.0,13.0,16.0,10.0,30.0,18.0
