name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 César Azpilicueta,16.0,33.0,84.0,0.75,0.0,2.0,71.0,119.0,79.0,0.0,206.0,199.0,142.0,12.0,81.0,69.0,0.0,0.0,4.0,2459.0,64.71,1.0,41.0,0.17,10.0,116.0,4.0,0.0,27.0,2.0,1.0,0.0,1.0,0.0,0.0
 Steve Cook,10.0,67.0,46.0,0.67,0.0,6.0,76.0,352.0,222.0,2.0,229.0,223.0,113.0,19.0,145.0,74.0,1.0,2.0,0.0,1716.0,45.16,1.0,13.0,0.0,2.0,168.0,5.0,0.0,16.0,0.0,2.0,1.0,1.0,0.0,0.0
 Ben Gibson,11.0,53.0,31.0,0.71,2.0,4.0,57.0,234.0,117.0,1.0,135.0,122.0,100.0,17.0,61.0,67.0,0.0,0.0,1.0,1682.0,44.26,1.0,0.0,0.0,0.0,148.0,4.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,0.0
 Joel Ward,7.0,63.0,89.0,0.76,0.0,6.0,59.0,133.0,73.0,1.0,194.0,222.0,146.0,20.0,62.0,43.0,0.0,0.0,1.0,1300.0,34.21,2.0,78.0,0.19,1.0,93.0,7.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gary Cahill,15.0,29.0,53.0,0.75,0.0,4.0,46.0,167.0,107.0,2.0,136.0,168.0,103.0,4.0,91.0,56.0,1.0,2.0,0.0,1849.0,49.97,0.0,1.0,0.0,1.0,112.0,5.0,0.0,34.0,2.0,6.0,3.0,3.0,0.0,0.0
 Nathaniel Clyne,12.0,41.0,80.0,0.76,0.0,8.0,43.0,54.0,17.0,0.0,174.0,134.0,116.0,21.0,13.0,43.0,0.0,1.0,2.0,1795.0,48.51,5.0,97.0,0.19,1.0,44.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0
 Craig Dawson,6.0,50.0,58.0,0.79,0.0,4.0,58.0,149.0,96.0,1.0,148.0,235.0,189.0,14.0,131.0,93.0,0.0,0.0,0.0,1017.0,27.49,0.0,85.0,0.15,1.0,73.0,10.0,0.0,53.0,2.0,4.0,3.0,1.0,0.0,1.0
 Stephen Ward,8.0,53.0,70.0,0.67,0.0,3.0,74.0,153.0,82.0,0.0,176.0,196.0,149.0,15.0,64.0,57.0,0.0,1.0,1.0,1130.0,30.54,3.0,111.0,0.23,0.0,111.0,5.0,0.0,35.0,0.0,1.0,0.0,0.0,1.0,0.0
 Christian Fuchs,8.0,57.0,97.0,0.82,1.0,4.0,71.0,143.0,90.0,0.0,206.0,186.0,151.0,13.0,69.0,61.0,0.0,0.0,4.0,1294.0,35.94,4.0,96.0,0.26,0.0,96.0,10.0,0.0,29.0,1.0,2.0,0.0,1.0,1.0,1.0
 Matthew Lowton,9.0,53.0,101.0,0.68,0.0,0.0,65.0,176.0,93.0,2.0,188.0,196.0,129.0,24.0,53.0,37.0,0.0,0.0,2.0,1084.0,30.11,2.0,115.0,0.22,4.0,116.0,9.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
 Gareth McAuley,6.0,45.0,50.0,0.74,0.0,1.0,71.0,227.0,148.0,1.0,136.0,190.0,98.0,18.0,113.0,47.0,1.0,2.0,1.0,742.0,20.61,0.0,4.0,0.5,0.0,106.0,5.0,0.0,27.0,0.0,6.0,4.0,2.0,0.0,2.0
 Nacho Monreal,11.0,43.0,90.0,0.68,0.0,4.0,88.0,99.0,45.0,0.0,190.0,194.0,166.0,13.0,57.0,61.0,0.0,0.0,2.0,1753.0,48.69,3.0,63.0,0.1,1.0,38.0,5.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,1.0
 Erik Pieters,10.0,50.0,106.0,0.76,0.0,4.0,54.0,110.0,57.0,0.0,191.0,231.0,154.0,15.0,54.0,39.0,0.0,1.0,1.0,1331.0,36.97,1.0,109.0,0.18,1.0,58.0,4.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0
 Adam Smith,8.0,61.0,85.0,0.71,0.0,8.0,54.0,71.0,36.0,0.0,175.0,220.0,184.0,36.0,31.0,50.0,1.0,0.0,5.0,1452.0,40.33,8.0,55.0,0.24,2.0,37.0,6.0,0.0,45.0,3.0,1.0,0.0,0.0,1.0,2.0
 Ashley Williams,13.0,40.0,53.0,0.79,1.0,3.0,57.0,287.0,149.0,0.0,177.0,149.0,123.0,2.0,82.0,62.0,0.0,0.0,3.0,1720.0,47.78,1.0,0.0,0.0,0.0,166.0,7.0,1.0,38.0,3.0,1.0,1.0,0.0,0.0,0.0
 Michael Keane,10.0,49.0,28.0,0.86,0.0,8.0,63.0,260.0,170.0,0.0,150.0,193.0,109.0,5.0,152.0,78.0,0.0,0.0,1.0,1128.0,32.23,1.0,3.0,0.33,0.0,126.0,4.0,0.0,14.0,1.0,2.0,1.0,1.0,0.0,1.0
 Bruno Martins Indi,10.0,50.0,61.0,0.72,1.0,5.0,58.0,210.0,104.0,0.0,173.0,135.0,105.0,7.0,58.0,64.0,0.0,0.0,0.0,1115.0,31.86,0.0,3.0,0.0,0.0,69.0,5.0,0.0,25.0,2.0,1.0,0.0,0.0,1.0,1.0
 Ryan Shawcross,9.0,53.0,46.0,0.74,0.0,5.0,58.0,227.0,132.0,1.0,119.0,199.0,124.0,10.0,129.0,73.0,2.0,2.0,1.0,996.0,28.46,0.0,1.0,1.0,0.0,94.0,6.0,0.0,34.0,2.0,1.0,0.0,0.0,1.0,1.0
