name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Nathan Aké,4.0,16.0,16.0,0.75,1.0,2.0,8.0,78.0,49.0,1.0,53.0,42.0,35.0,1.0,18.0,25.0,0.0,0.0,0.0,603.0,50.25,0.0,1.0,1.0,0.0,21.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0
 Marcos Alonso,6.0,8.0,22.0,0.5,0.0,6.0,9.0,44.0,21.0,0.0,78.0,64.0,45.0,3.0,23.0,20.0,0.0,0.0,3.0,793.0,66.08,2.0,39.0,0.1,1.0,21.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,3.0
 Cédric Soares,3.0,21.0,16.0,0.69,1.0,3.0,16.0,38.0,15.0,0.0,56.0,39.0,36.0,3.0,16.0,19.0,0.0,2.0,1.0,409.0,34.08,2.0,44.0,0.2,0.0,26.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
 César Azpilicueta,6.0,8.0,25.0,0.64,0.0,2.0,9.0,18.0,14.0,0.0,61.0,44.0,35.0,3.0,14.0,13.0,0.0,0.0,1.0,841.0,70.08,1.0,43.0,0.19,1.0,13.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
 Fabián Balbuena,1.0,18.0,21.0,0.62,0.0,1.0,31.0,89.0,45.0,0.0,59.0,65.0,51.0,1.0,40.0,32.0,0.0,0.0,0.0,495.0,41.25,0.0,1.0,0.0,0.0,27.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0
 Héctor Bellerín,2.0,14.0,11.0,0.91,0.0,4.0,13.0,27.0,19.0,0.0,50.0,39.0,52.0,9.0,15.0,17.0,1.0,0.0,4.0,533.0,44.42,4.0,30.0,0.23,3.0,13.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
 Ryan Bennett,4.0,13.0,23.0,0.48,0.0,1.0,19.0,57.0,37.0,0.0,54.0,73.0,63.0,1.0,46.0,35.0,0.0,0.0,0.0,478.0,39.83,1.0,1.0,0.0,1.0,15.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
 Ryan Bertrand,4.0,21.0,27.0,0.56,0.0,4.0,14.0,21.0,7.0,0.0,45.0,55.0,50.0,2.0,17.0,18.0,0.0,0.0,0.0,431.0,35.92,2.0,39.0,0.31,1.0,7.0,5.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0
 Willy Boly,4.0,13.0,28.0,0.54,1.0,2.0,24.0,46.0,31.0,0.0,78.0,71.0,35.0,3.0,36.0,14.0,0.0,0.0,0.0,546.0,45.5,1.0,0.0,0.0,2.0,29.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
 Gaëtan Bong,3.0,18.0,11.0,0.73,0.0,0.0,13.0,30.0,8.0,0.0,67.0,30.0,36.0,7.0,9.0,16.0,0.0,0.0,0.0,320.0,26.67,0.0,24.0,0.17,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
 Jonny,4.0,13.0,30.0,0.5,0.0,3.0,25.0,25.0,8.0,0.0,60.0,60.0,45.0,7.0,8.0,14.0,0.0,0.0,0.0,348.0,29.0,0.0,16.0,0.25,1.0,14.0,2.0,0.0,10.0,2.0,1.0,0.0,1.0,0.0,1.0
 Craig Cathcart,2.0,14.0,17.0,0.65,0.0,1.0,15.0,63.0,27.0,0.0,56.0,44.0,40.0,0.0,25.0,30.0,1.0,0.0,0.0,438.0,36.5,0.0,0.0,0.0,0.0,47.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0
 Ben Chilwell,4.0,16.0,15.0,0.53,0.0,2.0,11.0,36.0,21.0,1.0,68.0,94.0,83.0,24.0,39.0,25.0,0.0,0.0,1.0,549.0,45.75,1.0,63.0,0.14,1.0,11.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
 Steve Cook,4.0,16.0,13.0,0.38,0.0,2.0,17.0,94.0,43.0,0.0,60.0,62.0,45.0,2.0,42.0,36.0,0.0,0.0,1.0,563.0,46.92,0.0,5.0,0.0,0.0,48.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0
