,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
0,De Gea,Manchester United,90,GK,56.0,56,56,20.16666667,12,13,12,40,31,13,31.33333333,17,21,19,32,31,68,13,57,43,31,88,0,19.6,21,30,13,21,13,48.5,38,67,25,64,74.0,0.0,3.0,26.0,14.0,10.0,107.0,235.0,14.0,29.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,849.0,24.26,320.0
1,Thibaut Courtois,Chelsea,89,GK,49.0,46,52,19.83333333,13,14,17,27,36,12,25.16666667,14,19,11,31,32,44,13,61,45,23,81,0,14.6,13,15,11,18,16,49.75,23,68,38,70,68.0,0.0,18.0,37.0,10.0,16.0,165.0,224.0,16.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,792.0,22.0,172.0
2,Hugo Lloris,Tottenham Hotspur,88,GK,64.0,65,63,18.0,10,10,14,40,23,11,20.33333333,13,11,10,31,27,30,10,55,54,34,84,0,15.4,10,27,12,10,18,47.25,31,74,41,43,78.0,0.0,11.0,19.0,10.0,34.0,152.0,213.0,15.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1060.0,31.18,240.0
3,Petr Cech,Arsenal,88,GK,46.0,42,50,16.16666667,13,12,11,23,21,17,28.66666667,19,13,19,33,35,53,12,49,34,22,86,0,15.6,19,23,11,13,12,41.25,17,51,32,65,115.0,0.0,10.0,28.0,17.0,24.0,191.0,252.0,12.0,37.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,844.0,24.11,216.0
4,Steve Mandanda,Crystal Palace,84,GK,48.0,53,43,13.83333333,11,13,11,11,24,13,26.5,14,13,12,28,37,55,15,52,36,17,81,0,14.8,13,23,10,15,13,50.75,37,74,31,61,24.0,0.0,5.0,6.0,4.0,5.0,42.0,70.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,29.11,87.0
5,Asmir Begovic,Chelsea,83,GK,55.0,52,58,19.16666667,11,12,12,40,28,12,22.5,14,17,15,32,26,31,16,53,41,24,79,0,13.8,12,21,13,11,12,49.0,42,38,36,80,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,23.0,9.0
6,Claudio Bravo,Manchester City,83,GK,56.0,58,54,17.5,15,13,21,23,22,11,38.5,12,25,60,31,32,71,13,64,64,15,77,0,17.8,18,23,11,18,19,58.75,40,81,44,70,33.0,1.0,12.0,12.0,6.0,27.0,92.0,121.0,5.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,30.18,101.0
7,Kasper Schmeichel,Leicester City,82,GK,61.0,62,60,19.5,14,12,14,26,36,15,24.0,18,13,15,18,21,59,12,62,47,24,78,0,15.4,16,20,14,14,13,47.5,33,60,35,62,113.0,0.0,12.0,37.0,9.0,30.0,71.0,278.0,8.0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,888.0,29.6,310.0
8,Loris Karius,Liverpool,82,GK,49.0,48,50,15.83333333,8,18,16,19,20,14,26.16666667,14,12,14,37,35,45,16,51,43,23,83,0,12.8,14,13,13,11,13,45.75,18,74,36,55,20.0,0.0,4.0,5.0,4.0,4.0,38.0,47.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,26.8,47.0
9,Jack Butland,Stoke City,82,GK,49.5,51,48,21.33333333,16,16,13,42,29,12,24.5,11,12,14,40,36,34,21,58,55,26,73,0,15.8,12,27,16,13,11,48.5,32,61,42,59,17.0,0.0,1.0,8.0,2.0,2.0,19.0,40.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,28.0,56.0
