,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions_y,clearances,headed clearance
0,Zlatan Ibrahimovic,Manchester United,90,ST,71.5,69,74,90.16666667,86,90,88,91,93,93,80.16666667,76,82,80,76,84,83,87,86,41,90,85,0,36.4,79,20,15,41,27,81.0,84,72,75,93,17.0,0.61,4.0,11.0,2.0,2.0,0.0,115.0,46.0,0.4,1.0,18.0,5.0,1041.0,37.18,8.0,18.0,7.0,0.0,54.0,37.0,10.0,32.0,10.0,22.0,18.0
1,Sergio Aguero,Manchester City,89,ST,89.0,92,86,86.16666667,91,90,84,80,87,85,74.83333333,70,82,72,63,79,83,89,86,90,89,88,0,27.4,68,24,13,20,12,71.0,57,80,74,73,20.0,0.65,2.0,15.0,3.0,4.0,0.0,139.0,53.0,0.38,2.0,13.0,3.0,771.0,24.87,6.0,17.0,4.0,1.0,23.0,23.0,18.0,37.0,3.0,1.0,1.0
2,Alexis Sanchez,Arsenal,88,ST,86.0,88,84,82.66666667,86,85,81,77,84,83,78.5,80,78,78,73,80,82,89,90,87,86,87,0,43.2,70,42,30,39,35,80.5,80,85,85,72,24.0,0.63,3.0,17.0,4.0,2.0,2.0,129.0,49.0,0.38,5.0,8.0,10.0,1643.0,43.24,10.0,66.0,6.0,0.0,49.0,27.0,53.0,43.0,24.0,4.0,0.0
3,Diego Costa,Chelsea,86,ST,76.5,76,77,81.33333333,88,89,70,76,83,82,61.5,63,60,59,48,65,74,79,58,52,82,85,0,44.6,82,40,28,39,34,83.25,93,64,85,91,20.0,0.57,2.0,13.0,5.0,0.0,0.0,111.0,42.0,0.38,4.0,12.0,7.0,1034.0,29.54,6.0,9.0,10.0,0.0,43.0,26.0,18.0,32.0,7.0,39.0,29.0
4,Harry Kane,Tottenham Hotspur,85,ST,73.0,69,77,81.66666667,86,88,78,82,86,70,70.16666667,70,71,66,67,75,72,77,74,62,82,85,0,46.6,83,35,41,36,38,78.0,74,70,84,84,29.0,0.97,2.0,20.0,7.0,5.0,0.0,110.0,58.0,0.53,3.0,11.0,7.0,597.0,19.9,7.0,29.0,3.0,0.0,23.0,17.0,22.0,21.0,4.0,21.0,15.0
5,Romelu Lukaku,Everton,84,ST,81.0,76,86,80.83333333,84,84,76,80,88,73,65.5,68,64,66,58,68,69,76,62,48,79,77,0,39.4,83,27,27,30,30,79.0,72,71,80,93,25.0,0.68,6.0,7.0,12.0,1.0,1.0,110.0,55.0,0.5,3.0,8.0,6.0,965.0,26.08,8.0,45.0,3.0,0.0,33.0,36.0,9.0,24.0,0.0,27.0,15.0
6,Daniel Sturridge,Liverpool,84,ST,86.5,86,87,81.0,84,85,83,75,83,76,67.16666667,62,62,68,62,75,74,84,78,64,81,82,0,29.2,73,22,15,24,12,69.75,60,74,72,73,3.0,0.15,1.0,1.0,1.0,0.0,0.0,40.0,21.0,0.53,4.0,3.0,1.0,278.0,13.9,2.0,7.0,1.0,0.0,5.0,7.0,1.0,4.0,2.0,0.0,0.0
7,Olivier Giroud,Arsenal,83,ST,60.5,61,60,81.83333333,84,84,76,81,84,82,67.66666667,63,70,65,56,77,75,72,60,52,82,83,0,42.4,88,41,26,37,20,81.25,76,82,79,88,12.0,0.41,6.0,1.0,5.0,0.0,0.0,39.0,20.0,0.51,1.0,3.0,3.0,369.0,12.72,2.0,3.0,2.0,0.0,21.0,12.0,14.0,5.0,8.0,17.0,12.0
8,Islam Slimani,Leicester City,83,ST,72.5,69,76,78.0,86,81,72,72,78,79,63.66666667,58,73,47,59,73,72,74,66,57,76,84,0,50.4,92,54,34,48,24,88.0,88,87,91,86,7.0,0.3,5.0,2.0,0.0,1.0,0.0,35.0,13.0,0.37,2.0,7.0,4.0,423.0,18.39,2.0,3.0,1.0,0.0,27.0,11.0,12.0,5.0,3.0,3.0,2.0
9,Roberto Firmino,Liverpool,83,ST,79.0,79,79,79.16666667,84,82,80,72,79,78,76.83333333,72,80,67,76,83,83,87,82,81,83,81,0,49.2,73,37,30,64,42,76.75,64,81,86,76,11.0,0.31,3.0,5.0,3.0,0.0,0.0,100.0,45.0,0.45,0.0,9.0,7.0,1543.0,44.09,11.0,60.0,5.0,0.0,51.0,19.0,58.0,31.0,26.0,14.0,12.0
