name,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
 Toby Alderweireld,13.0,35.0,45.0,0.71,0.0,8.0,66.0,285.0,125.0,1.0,161.0,116.0,74.0,7.0,59.0,39.0,0.0,0.0,2.0,2076.0,54.63,1.0,16.0,0.13,2.0,238.0,3.0,0.0,9.0,1.0,4.0,3.0,0.0,1.0,0.0
 Craig Dawson,10.0,48.0,59.0,0.69,0.0,11.0,86.0,162.0,93.0,1.0,153.0,212.0,164.0,8.0,119.0,73.0,1.0,0.0,0.0,1115.0,29.34,3.0,130.0,0.22,0.0,81.0,3.0,0.0,28.0,3.0,4.0,3.0,0.0,1.0,1.0
 Simon Francis,6.0,67.0,105.0,0.73,0.0,3.0,88.0,206.0,118.0,2.0,231.0,254.0,163.0,30.0,108.0,62.0,0.0,0.0,4.0,2106.0,55.42,1.0,100.0,0.25,0.0,179.0,5.0,1.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0
 Wes Morgan,15.0,36.0,51.0,0.67,0.0,6.0,95.0,216.0,110.0,1.0,135.0,167.0,101.0,10.0,93.0,64.0,0.0,1.0,0.0,818.0,21.53,0.0,0.0,0.0,2.0,46.0,3.0,0.0,27.0,0.0,2.0,2.0,0.0,0.0,0.0
 César Azpilicueta,8.0,50.0,114.0,0.75,0.0,2.0,86.0,102.0,32.0,0.0,210.0,182.0,124.0,6.0,46.0,39.0,0.0,0.0,3.0,1798.0,48.59,3.0,57.0,0.19,1.0,103.0,7.0,0.0,39.0,1.0,2.0,0.0,2.0,0.0,0.0
 Aaron Cresswell,11.0,50.0,38.0,0.61,0.0,10.0,70.0,88.0,41.0,1.0,168.0,121.0,109.0,12.0,40.0,34.0,0.0,3.0,4.0,1377.0,37.22,4.0,121.0,0.26,1.0,115.0,1.0,0.0,22.0,1.0,2.0,0.0,0.0,2.0,1.0
 José Fonte,11.0,37.0,53.0,0.66,0.0,2.0,81.0,224.0,82.0,0.0,163.0,154.0,85.0,2.0,91.0,42.0,0.0,0.0,1.0,1622.0,43.84,1.0,9.0,0.33,0.0,136.0,4.0,1.0,21.0,1.0,2.0,2.0,0.0,0.0,0.0
 Charlie Daniels,7.0,63.0,75.0,0.83,0.0,5.0,53.0,76.0,33.0,0.0,203.0,176.0,110.0,57.0,26.0,21.0,0.0,1.0,5.0,1692.0,45.73,3.0,127.0,0.25,1.0,65.0,2.0,0.0,10.0,2.0,3.0,0.0,0.0,3.0,0.0
 Nacho Monreal,17.0,34.0,80.0,0.7,0.0,1.0,105.0,114.0,50.0,2.0,236.0,205.0,129.0,15.0,69.0,54.0,0.0,0.0,3.0,1844.0,49.84,2.0,99.0,0.2,4.0,38.0,1.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0
 Héctor Bellerín,18.0,33.0,58.0,0.81,0.0,5.0,66.0,85.0,31.0,0.0,164.0,166.0,147.0,62.0,39.0,39.0,0.0,0.0,5.0,1689.0,46.92,9.0,109.0,0.17,9.0,33.0,3.0,0.0,19.0,1.0,1.0,0.0,0.0,1.0,1.0
