,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
0,De Gea,Manchester United,87,GK,53.0,51,55,20.16666667,12,13,12,40,31,13,31.33333333,17,21,19,32,31,68,13,57,43,31,84,0,19.6,21,30,13,21,13,48.5,38,67,25,64,83.0,0.0,13.0,20.0,6.0,18.0,106.0,287.0,15.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,854.0,25.12,260.0
1,Petr Cech,Arsenal,86,GK,48.5,45,52,16.16666667,13,12,11,23,21,17,22.66666667,19,13,19,33,35,17,12,49,34,22,86,0,15.6,19,23,11,13,12,41.25,17,51,32,65,101.0,0.0,19.0,39.0,10.0,33.0,175.0,248.0,16.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,25.09,279.0
2,Thibaut Courtois,Chelsea,86,GK,49.0,46,52,19.83333333,13,14,17,27,36,12,25.16666667,14,19,11,31,32,44,13,61,45,23,81,0,14.6,13,15,11,18,16,49.75,23,68,38,70,67.0,1.0,19.0,32.0,13.0,14.0,118.0,168.0,5.0,29.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,523.0,22.74,133.0
3,Hugo Lloris,Tottenham Hotspur,85,GK,64.0,65,63,18.0,10,10,14,40,23,11,20.33333333,13,11,10,31,27,30,10,55,54,34,84,0,15.4,10,27,12,10,18,47.25,31,74,41,43,88.0,0.0,27.0,35.0,16.0,40.0,162.0,247.0,13.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,28.3,253.0
4,Joe Hart,Manchester City,84,GK,59.5,59,60,33.16666667,14,14,19,68,65,19,25.5,14,17,13,35,32,42,23,50,32,20,80,0,15.2,10,25,14,14,13,47.25,28,72,28,61,71.0,0.0,39.0,35.0,2.0,26.0,130.0,221.0,15.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,20.6,180.0
5,Asmir Begovic,Chelsea,82,GK,55.0,52,58,19.16666667,11,12,12,40,28,12,22.5,14,17,15,32,26,31,16,53,41,24,79,0,13.8,12,21,13,11,12,49.0,42,38,36,80,55.0,0.0,8.0,17.0,12.0,6.0,69.0,106.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,19.76,81.0
6,Michel Vorm,Tottenham Hotspur,80,GK,58.0,57,59,19.83333333,10,14,19,41,23,12,24.16666667,13,12,14,35,39,32,18,67,53,35,82,0,17.0,17,28,15,11,14,52.0,23,79,43,63,1.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,8.0
7,Ben Foster,West Bromwich Albion,79,GK,49.0,50,48,21.33333333,14,18,14,41,27,14,26.16666667,15,15,17,32,36,42,14,45,50,25,72,0,16.2,14,23,15,15,14,44.75,15,75,32,57,44.0,0.0,2.0,21.0,12.0,9.0,40.0,141.0,4.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,369.0,24.6,131.0
8,Jack Butland,Stoke City,79,GK,49.5,51,48,21.33333333,16,16,13,42,29,12,24.5,11,12,14,40,36,34,21,58,55,26,66,0,15.8,12,27,16,13,11,48.5,32,61,42,59,103.0,0.0,12.0,43.0,11.0,36.0,120.0,287.0,10.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,883.0,28.48,258.0
9,Tim Krul,Newcastle United,78,GK,42.5,50,35,20.33333333,16,11,14,42,23,16,24.33333333,13,13,15,25,36,44,13,63,42,25,76,0,17.4,19,22,15,17,14,52.5,39,69,42,60,33.0,0.0,4.0,7.0,5.0,4.0,27.0,72.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,32.38,80.0
