name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
 Marc Albrighton,2.0,0.05,0.0,1.0,1.0,0.0,0.0,42.0,11.0,0.26,1.0,2.0,6.0,912.0,24.0,11.0,272.0,0.19,4.0,57.0,4.0,0.0,21.0,3.0,65.0,0.83,14.0,49.0,19.0,4.0,214.0,154.0,172.0,51.0,11.0,38.0,0.0
 Ross Barkley,8.0,0.21,0.0,7.0,1.0,2.0,0.0,95.0,29.0,0.31,5.0,7.0,8.0,1802.0,47.42,11.0,110.0,0.22,19.0,103.0,4.0,0.0,29.0,5.0,34.0,0.65,38.0,17.0,18.0,15.0,186.0,250.0,228.0,116.0,29.0,31.0,0.0
 Darren Fletcher,1.0,0.03,1.0,0.0,0.0,0.0,0.0,22.0,4.0,0.18,0.0,2.0,3.0,1480.0,38.95,3.0,45.0,0.24,6.0,109.0,3.0,0.0,18.0,0.0,52.0,0.71,11.0,51.0,36.0,13.0,269.0,145.0,169.0,29.0,36.0,38.0,0.0
 Juan Mata,6.0,0.16,0.0,1.0,5.0,1.0,1.0,57.0,22.0,0.39,1.0,1.0,5.0,1803.0,47.45,7.0,98.0,0.18,7.0,98.0,4.0,1.0,22.0,9.0,30.0,0.73,18.0,23.0,19.0,2.0,185.0,93.0,150.0,30.0,4.0,14.0,0.0
 Andrew Surman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,3.0,2287.0,60.18,0.0,9.0,0.22,5.0,218.0,4.0,0.0,26.0,0.0,51.0,0.67,10.0,109.0,63.0,31.0,240.0,134.0,149.0,16.0,48.0,57.0,0.0
 Georginio Wijnaldum,11.0,0.29,4.0,7.0,0.0,1.0,0.0,54.0,29.0,0.54,0.0,7.0,5.0,1252.0,32.95,5.0,34.0,0.24,3.0,38.0,1.0,0.0,16.0,5.0,38.0,0.84,13.0,27.0,16.0,10.0,228.0,164.0,177.0,50.0,25.0,43.0,0.0
 Eric Dier,3.0,0.08,2.0,1.0,0.0,0.0,0.0,30.0,7.0,0.23,0.0,1.0,2.0,2084.0,56.32,3.0,19.0,0.11,5.0,120.0,10.0,0.0,52.0,0.0,80.0,0.8,9.0,80.0,70.0,43.0,151.0,197.0,185.0,8.0,88.0,68.0,0.0
 Cesc Fàbregas,5.0,0.14,0.0,5.0,0.0,2.0,1.0,45.0,19.0,0.42,0.0,1.0,7.0,2829.0,76.46,13.0,105.0,0.22,33.0,184.0,5.0,0.0,38.0,4.0,103.0,0.73,12.0,23.0,19.0,9.0,253.0,190.0,178.0,23.0,22.0,19.0,0.0
 N'Golo Kanté,1.0,0.03,0.0,1.0,0.0,0.0,0.0,21.0,5.0,0.24,0.0,0.0,4.0,1449.0,39.16,4.0,17.0,0.29,7.0,63.0,3.0,0.0,43.0,0.0,175.0,0.71,3.0,156.0,57.0,27.0,326.0,277.0,217.0,47.0,38.0,57.0,0.0
 Yann M'Vila,1.0,0.03,0.0,1.0,0.0,0.0,1.0,29.0,5.0,0.17,0.0,0.0,4.0,1679.0,45.38,5.0,83.0,0.22,9.0,104.0,1.0,0.0,18.0,0.0,99.0,0.7,10.0,86.0,110.0,31.0,287.0,200.0,125.0,15.0,45.0,28.0,0.0
