name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,tackles,tackle success,blocked shots,interceptions,clearances,headed clearance,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,errors leading to goal
 Jack Cork,2.0,0.05,2.0,0.0,0.0,0.0,0.0,15.0,5.0,0.33,0.0,0.0,1.0,1584.0,41.68,0.0,19.0,0.21,0.0,87.0,7.0,0.0,23.0,1.0,60.0,0.73,5.0,41.0,81.0,38.0,244.0,196.0,198.0,31.0,58.0,78.0,1.0
 Pascal Groß,7.0,0.18,1.0,5.0,1.0,1.0,0.0,44.0,20.0,0.45,0.0,0.0,8.0,1215.0,31.97,16.0,234.0,0.29,10.0,68.0,2.0,0.0,33.0,9.0,36.0,0.67,12.0,14.0,19.0,6.0,137.0,79.0,187.0,11.0,13.0,57.0,0.0
 Granit Xhaka,1.0,0.03,0.0,0.0,1.0,0.0,0.0,66.0,17.0,0.26,2.0,0.0,7.0,3116.0,82.0,3.0,102.0,0.28,11.0,188.0,10.0,0.0,57.0,0.0,78.0,0.73,18.0,37.0,64.0,41.0,261.0,184.0,172.0,18.0,49.0,50.0,3.0
 Tom Carroll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.15,2.0,0.0,4.0,1444.0,39.03,6.0,129.0,0.32,3.0,80.0,3.0,0.0,23.0,1.0,53.0,0.62,9.0,29.0,15.0,5.0,139.0,94.0,108.0,14.0,11.0,21.0,1.0
 Kevin De Bruyne,8.0,0.22,0.0,3.0,5.0,0.0,1.0,94.0,39.0,0.41,4.0,3.0,16.0,2693.0,72.78,19.0,248.0,0.25,41.0,130.0,2.0,0.0,30.0,2.0,62.0,0.69,24.0,25.0,12.0,3.0,207.0,172.0,187.0,63.0,15.0,16.0,0.0
 Abdoulaye Doucouré,7.0,0.19,0.0,5.0,1.0,0.0,0.0,47.0,17.0,0.36,1.0,1.0,3.0,2244.0,60.65,1.0,26.0,0.23,2.0,84.0,10.0,0.0,44.0,2.0,79.0,0.66,10.0,54.0,55.0,26.0,345.0,188.0,203.0,41.0,43.0,52.0,0.0
 Christian Eriksen,10.0,0.27,0.0,4.0,6.0,0.0,0.0,97.0,39.0,0.4,1.0,2.0,10.0,2258.0,61.03,15.0,222.0,0.23,24.0,134.0,0.0,0.0,14.0,1.0,51.0,0.57,37.0,31.0,17.0,3.0,227.0,118.0,177.0,29.0,18.0,27.0,0.0
 Joe Allen,2.0,0.06,0.0,1.0,1.0,0.0,0.0,24.0,4.0,0.17,0.0,1.0,6.0,1358.0,37.72,4.0,37.0,0.3,3.0,44.0,8.0,0.0,49.0,0.0,96.0,0.65,9.0,58.0,54.0,27.0,244.0,225.0,246.0,44.0,36.0,61.0,0.0
 Dele Alli,9.0,0.25,0.0,6.0,3.0,0.0,0.0,69.0,17.0,0.25,1.0,8.0,10.0,1251.0,34.75,16.0,18.0,0.17,15.0,39.0,7.0,0.0,43.0,5.0,46.0,0.65,21.0,19.0,18.0,10.0,181.0,202.0,265.0,44.0,30.0,52.0,1.0
 Riyad Mahrez,12.0,0.33,1.0,1.0,10.0,0.0,1.0,73.0,36.0,0.49,0.0,5.0,10.0,1276.0,35.44,12.0,158.0,0.22,18.0,108.0,2.0,0.0,23.0,10.0,39.0,0.69,19.0,18.0,9.0,5.0,174.0,206.0,266.0,81.0,28.0,52.0,0.0
 Solly March,1.0,0.03,1.0,0.0,0.0,0.0,0.0,28.0,9.0,0.32,2.0,1.0,1.0,637.0,17.69,4.0,102.0,0.16,1.0,36.0,3.0,0.0,29.0,7.0,54.0,0.76,10.0,13.0,29.0,13.0,135.0,143.0,177.0,48.0,19.0,42.0,0.0
 Nemanja Matic,1.0,0.03,0.0,0.0,1.0,0.0,0.0,18.0,3.0,0.17,0.0,0.0,1.0,2601.0,72.25,2.0,18.0,0.22,4.0,175.0,6.0,0.0,33.0,2.0,70.0,0.6,5.0,64.0,56.0,27.0,317.0,202.0,148.0,54.0,57.0,28.0,1.0
 Luka Milivojevic,10.0,0.28,0.0,10.0,0.0,7.0,1.0,42.0,17.0,0.4,1.0,2.0,1.0,1652.0,45.89,2.0,39.0,0.33,3.0,122.0,8.0,0.0,69.0,1.0,85.0,0.61,11.0,71.0,74.0,27.0,274.0,194.0,197.0,28.0,49.0,45.0,2.0
 Aaron Mooy,4.0,0.11,0.0,2.0,2.0,1.0,0.0,29.0,7.0,0.24,1.0,0.0,3.0,1902.0,52.83,5.0,185.0,0.2,4.0,102.0,5.0,0.0,26.0,2.0,102.0,0.59,15.0,38.0,48.0,9.0,266.0,166.0,160.0,16.0,33.0,39.0,0.0
 Dale Stephens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.11,1.0,0.0,3.0,1757.0,48.81,2.0,0.0,0.0,3.0,148.0,6.0,0.0,50.0,0.0,104.0,0.6,7.0,63.0,67.0,36.0,293.0,167.0,185.0,18.0,28.0,30.0,0.0
 Andros Townsend,2.0,0.06,0.0,0.0,2.0,0.0,0.0,62.0,14.0,0.23,0.0,2.0,7.0,1023.0,28.42,14.0,176.0,0.26,3.0,33.0,3.0,0.0,10.0,6.0,60.0,0.57,21.0,35.0,21.0,5.0,182.0,193.0,185.0,84.0,4.0,13.0,0.0
 Johann Gudmundsson,2.0,0.06,1.0,0.0,1.0,0.0,0.0,54.0,18.0,0.33,3.0,0.0,8.0,805.0,23.0,7.0,213.0,0.3,1.0,42.0,2.0,0.0,18.0,2.0,43.0,0.63,15.0,34.0,33.0,13.0,179.0,151.0,167.0,36.0,41.0,49.0,0.0
 Mame Biram Diouf,6.0,0.17,1.0,2.0,3.0,0.0,0.0,59.0,20.0,0.34,0.0,7.0,2.0,558.0,15.94,3.0,34.0,0.09,0.0,5.0,6.0,0.0,38.0,23.0,48.0,0.75,12.0,14.0,70.0,43.0,75.0,240.0,250.0,11.0,145.0,160.0,0.0
 Demarai Gray,3.0,0.09,0.0,2.0,0.0,0.0,0.0,36.0,9.0,0.25,1.0,2.0,1.0,557.0,15.91,4.0,86.0,0.21,1.0,26.0,2.0,0.0,7.0,4.0,17.0,0.88,16.0,11.0,11.0,2.0,99.0,90.0,104.0,38.0,5.0,24.0,1.0
 Alex Oxlade-Chamberlain,3.0,0.09,0.0,2.0,1.0,0.0,0.0,47.0,17.0,0.36,1.0,0.0,7.0,836.0,23.89,5.0,86.0,0.24,13.0,60.0,3.0,0.0,17.0,3.0,37.0,0.65,16.0,26.0,13.0,6.0,113.0,118.0,112.0,57.0,15.0,33.0,0.0
 Davy Pröpper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,0.14,1.0,3.0,4.0,1387.0,39.63,1.0,12.0,0.25,2.0,114.0,2.0,1.0,41.0,2.0,73.0,0.6,10.0,60.0,68.0,27.0,245.0,166.0,187.0,36.0,47.0,41.0,0.0
 Matt Ritchie,3.0,0.09,0.0,1.0,2.0,0.0,0.0,59.0,16.0,0.27,3.0,1.0,5.0,1046.0,29.89,10.0,190.0,0.22,7.0,48.0,6.0,0.0,37.0,3.0,46.0,0.7,23.0,35.0,53.0,27.0,184.0,131.0,203.0,16.0,33.0,81.0,1.0
 Bernardo Silva,6.0,0.17,0.0,1.0,5.0,0.0,0.0,25.0,14.0,0.56,1.0,3.0,4.0,935.0,26.71,3.0,50.0,0.18,2.0,21.0,0.0,0.0,9.0,0.0,27.0,0.67,1.0,10.0,10.0,1.0,73.0,88.0,84.0,29.0,5.0,14.0,0.0
 Marc Albrighton,2.0,0.06,0.0,2.0,0.0,0.0,0.0,20.0,6.0,0.3,0.0,1.0,7.0,1005.0,29.56,8.0,217.0,0.18,11.0,76.0,5.0,1.0,20.0,2.0,52.0,0.63,11.0,27.0,25.0,11.0,172.0,141.0,152.0,52.0,11.0,15.0,0.0
 Eric Dier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.22,1.0,1.0,2.0,2248.0,66.12,3.0,26.0,0.19,2.0,164.0,4.0,0.0,23.0,1.0,61.0,0.7,9.0,48.0,82.0,46.0,170.0,163.0,127.0,13.0,83.0,62.0,2.0
