name,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
 Kepa Arrizabalaga,23.0,0.0,1.0,5.0,0.0,4.0,39.0,96.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,29.0,66.0
 Asmir Begovic,33.0,0.0,3.0,11.0,2.0,2.0,67.0,98.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,22.67,71.0
 David De Gea,42.0,0.0,4.0,5.0,6.0,1.0,42.0,94.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,25.42,98.0
 Rui Patrício,37.0,0.0,1.0,2.0,0.0,0.0,38.0,81.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,18.83,76.0
 Martin Dubravka,34.0,0.0,5.0,5.0,3.0,5.0,41.0,113.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,28.33,96.0
 Neil Etheridge,39.0,2.0,3.0,2.0,2.0,4.0,19.0,75.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,27.75,101.0
 Lukasz Fabianski,51.0,0.0,6.0,8.0,2.0,1.0,52.0,96.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,28.5,88.0
 Ben Foster,28.0,0.0,2.0,12.0,1.0,15.0,22.0,106.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,31.08,113.0
 Joe Hart,53.0,1.0,4.0,2.0,3.0,4.0,36.0,123.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,30.92,129.0
 Wayne Hennessey,33.0,1.0,5.0,6.0,4.0,2.0,48.0,97.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,25.5,88.0
 Alex McCarthy,40.0,0.0,10.0,5.0,5.0,2.0,40.0,85.0,4.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,272.0,22.67,85.0
 Jordan Pickford,36.0,2.0,1.0,5.0,1.0,8.0,48.0,90.0,3.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,331.0,27.58,79.0
 Alisson,25.0,0.0,6.0,2.0,4.0,6.0,60.0,66.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,27.17,65.0
 Mat Ryan,46.0,0.0,3.0,8.0,2.0,0.0,26.0,124.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,30.08,128.0
 Ederson,19.0,0.0,1.0,9.0,0.0,7.0,66.0,67.0,7.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,294.0,24.5,40.0
 Kasper Schmeichel,29.0,0.0,2.0,3.0,3.0,4.0,49.0,90.0,4.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,322.0,26.83,101.0
 Jonas Lössl,22.0,0.0,6.0,6.0,2.0,2.0,25.0,76.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,31.9,112.0
 Hugo Lloris,31.0,0.0,6.0,5.0,0.0,5.0,32.0,68.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,33.63,56.0
 Marcus Bettinelli,20.0,1.0,8.0,1.0,1.0,5.0,32.0,67.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,211.0,30.14,66.0
 Petr Cech,28.0,0.0,2.0,6.0,2.0,3.0,46.0,53.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,32.0,38.0
 Bernd Leno,16.0,0.0,6.0,5.0,0.0,5.0,38.0,37.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,24.5,20.0
 Ben Hamer,11.0,0.0,0.0,2.0,2.0,0.0,5.0,17.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,25.33,30.0
 Sergio Rico,9.0,0.0,2.0,1.0,0.0,4.0,15.0,35.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,27.0,29.0
 Fabri,16.0,0.0,0.0,1.0,1.0,3.0,14.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,23.5,16.0
 Paulo Gazzaniga,8.0,0.0,2.0,2.0,0.0,1.0,6.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,28.5,11.0
 Michel Vorm,9.0,0.0,1.0,1.0,1.0,1.0,17.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,22.0,5.0
