name,goals,goals per match,headed goals,goals with right foot,goals with left foot,penalties scored,freekicks scored,shots,shots on target,shooting accuracy ,hit woodwork,big chances missed,assists,passes,passes per match,big chances created,crosses,yellow cards,red cards,fouls,offsides,tackles,blocked shots,interceptions,clearances,headed clearance
 Richarlison,5.0,0.13,1.0,2.0,2.0,0.0,0.0,95.0,22.0,0.23,2.0,13.0,4.0,804.0,21.16,6.0,51.0,4.0,0.0,37.0,21.0,64.0,26.0,24.0,29.0,20.0
 Roberto Firmino,15.0,0.41,3.0,10.0,2.0,1.0,0.0,84.0,38.0,0.45,1.0,7.0,7.0,1169.0,31.59,11.0,43.0,1.0,0.0,57.0,13.0,65.0,24.0,18.0,9.0,6.0
 Harry Kane,30.0,0.81,6.0,13.0,10.0,2.0,0.0,184.0,76.0,0.41,6.0,18.0,2.0,657.0,17.76,5.0,20.0,5.0,0.0,34.0,42.0,17.0,48.0,5.0,19.0,14.0
 Jay Rodriguez,7.0,0.19,2.0,5.0,0.0,1.0,0.0,69.0,25.0,0.36,2.0,4.0,1.0,704.0,19.03,3.0,30.0,2.0,0.0,43.0,18.0,31.0,16.0,19.0,37.0,30.0
 Son Heung-Min,12.0,0.32,2.0,5.0,5.0,0.0,0.0,75.0,33.0,0.44,2.0,8.0,6.0,916.0,24.76,9.0,51.0,0.0,0.0,15.0,25.0,17.0,19.0,10.0,9.0,2.0
 Jamie Vardy,20.0,0.54,3.0,12.0,5.0,5.0,0.0,71.0,35.0,0.49,0.0,6.0,1.0,463.0,12.51,5.0,39.0,3.0,0.0,29.0,44.0,15.0,12.0,2.0,17.0,12.0
 Jordan Ayew,7.0,0.19,1.0,4.0,2.0,1.0,0.0,66.0,21.0,0.32,4.0,6.0,2.0,835.0,23.19,1.0,45.0,2.0,1.0,63.0,8.0,82.0,26.0,24.0,17.0,10.0
 Ashley Barnes,9.0,0.25,1.0,7.0,1.0,0.0,0.0,60.0,22.0,0.37,0.0,3.0,0.0,510.0,14.17,2.0,16.0,10.0,0.0,53.0,26.0,21.0,9.0,2.0,18.0,12.0
 Willian,6.0,0.17,1.0,5.0,0.0,1.0,0.0,54.0,25.0,0.46,2.0,3.0,7.0,924.0,25.67,8.0,99.0,1.0,0.0,10.0,5.0,22.0,14.0,10.0,9.0,5.0
 Ayoze Pérez,8.0,0.22,0.0,8.0,0.0,0.0,0.0,60.0,23.0,0.38,1.0,5.0,5.0,718.0,19.94,7.0,22.0,3.0,0.0,36.0,14.0,39.0,10.0,24.0,24.0,10.0
 Salomón Rondón,7.0,0.19,1.0,1.0,4.0,0.0,0.0,79.0,29.0,0.37,2.0,9.0,3.0,833.0,23.14,3.0,35.0,4.0,0.0,42.0,28.0,14.0,11.0,15.0,20.0,17.0
 Mohamed Salah,32.0,0.89,2.0,5.0,25.0,1.0,0.0,144.0,67.0,0.47,3.0,23.0,10.0,946.0,26.28,12.0,86.0,1.0,0.0,16.0,17.0,12.0,33.0,5.0,3.0,2.0
