,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions_y,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
0,Toby Alderweireld,Tottenham Hotspur,85,CB,66.0,63,69,58.5,56,45,66,60,86,38,69.0,64,63,69,81,77,60,61,60,49,70,84,0,85.2,83,86,86,88,83,79.5,79,83,75,81,14.0,17.0,41.0,0.85,0.0,5.0,26.0,162.0,84.0,0.0,130.0,92.0,75.0,4.0,42.0,45.0,0.0,1.0,0.0,1522.0,50.73,0.0,6.0,0.17,1.0,212.0,1.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0
1,Laurent Koscielny,Arsenal,85,CB,79.5,79,80,41.66666667,31,32,47,51,54,35,54.0,54,22,49,67,76,56,62,70,62,67,80,0,85.0,84,86,83,87,85,81.25,90,86,74,75,10.0,36.0,48.0,0.88,1.0,3.0,90.0,202.0,119.0,0.0,209.0,192.0,115.0,4.0,116.0,78.0,0.0,0.0,0.0,1667.0,50.52,0.0,3.0,0.0,0.0,74.0,4.0,1.0,19.0,2.0,2.0,0.0,2.0,0.0,0.0
2,Nicolas Otamendi,Manchester City,84,CB,71.5,68,75,54.5,49,53,56,44,69,56,52.66666667,52,50,39,66,64,45,41,71,62,60,78,0,84.6,86,84,83,85,85,84.75,89,90,78,82,9.0,28.0,69.0,0.75,0.0,4.0,84.0,190.0,138.0,2.0,173.0,222.0,118.0,11.0,117.0,67.0,0.0,0.0,1.0,1945.0,64.83,2.0,3.0,0.33,5.0,82.0,9.0,0.0,30.0,1.0,1.0,1.0,0.0,0.0,0.0
3,Chris Smalling,Manchester United,84,CB,76.5,76,77,46.83333333,48,50,35,52,42,54,50.16666667,52,49,22,63,66,49,59,60,48,63,83,0,83.4,86,82,82,85,82,80.75,82,75,79,87,4.0,16.0,12.0,0.75,0.0,1.0,13.0,126.0,75.0,0.0,45.0,67.0,32.0,1.0,48.0,18.0,0.0,2.0,1.0,464.0,25.78,1.0,0.0,0.0,0.0,21.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0
4,John Terry,Chelsea,84,CB,33.5,33,34,47.5,38,46,33,52,61,55,51.0,42,44,31,64,66,59,45,44,46,60,83,0,86.2,90,86,85,86,84,78.25,80,80,67,86,1.0,9.0,3.0,0.67,0.0,1.0,4.0,21.0,16.0,0.0,16.0,20.0,16.0,0.0,14.0,6.0,0.0,1.0,0.0,320.0,35.56,1.0,1.0,0.0,0.0,10.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0
5,David Luiz,Chelsea,84,CB,72.5,72,73,66.16666667,54,56,71,75,74,67,73.33333333,68,70,76,78,79,69,66,74,56,79,79,0,82.6,83,80,81,85,84,80.0,84,82,77,77,13.0,26.0,42.0,0.67,0.0,10.0,64.0,171.0,100.0,0.0,196.0,141.0,89.0,14.0,60.0,39.0,0.0,0.0,0.0,1570.0,47.58,3.0,6.0,0.33,7.0,158.0,6.0,0.0,29.0,3.0,1.0,0.0,1.0,0.0,1.0
6,Jan Vertonghen,Tottenham Hotspur,83,CB,67.5,69,66,66.16666667,63,60,68,68,86,52,68.33333333,68,58,73,74,75,62,66,62,55,74,81,0,82.4,82,83,81,85,81,80.75,83,80,79,81,13.0,21.0,43.0,0.79,0.0,5.0,42.0,230.0,124.0,0.0,188.0,196.0,70.0,26.0,106.0,34.0,0.0,2.0,0.0,2051.0,62.15,0.0,9.0,0.11,1.0,167.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0
7,Eric Bailly,Manchester United,83,CB,81.0,79,83,42.33333333,36,33,48,46,55,36,48.0,41,42,43,56,71,35,54,74,65,63,75,0,82.6,74,85,83,85,86,83.75,86,84,81,84,12.0,15.0,60.0,0.72,1.0,2.0,60.0,126.0,60.0,0.0,172.0,136.0,77.0,14.0,37.0,30.0,0.0,0.0,0.0,876.0,35.04,0.0,2.0,0.0,0.0,59.0,4.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0
8,Leighton Baines,Everton,83,LB,75.5,76,75,76.16666667,75,70,75,90,84,63,80.83333333,91,81,82,74,81,76,77,75,85,76,80,0,79.8,74,80,81,82,82,75.25,74,72,86,69,11.0,34.0,63.0,0.7,2.0,3.0,45.0,65.0,39.0,1.0,161.0,129.0,117.0,12.0,27.0,34.0,0.0,0.0,3.0,1309.0,40.91,1.0,112.0,0.29,1.0,76.0,4.0,0.0,35.0,0.0,2.0,0.0,0.0,2.0,1.0
9,Ashley Williams,Everton,83,CB,70.0,68,72,41.33333333,28,37,40,45,64,34,48.0,32,34,23,74,72,53,57,58,59,69,81,0,81.6,79,83,81,85,80,82.0,83,86,73,86,13.0,40.0,53.0,0.79,1.0,3.0,57.0,287.0,149.0,0.0,177.0,149.0,123.0,2.0,82.0,62.0,0.0,0.0,3.0,1720.0,47.78,1.0,0.0,0.0,0.0,166.0,7.0,1.0,38.0,3.0,1.0,1.0,0.0,0.0,0.0
