name,saves,penalties saved,punches,high claims,catches,sweeper clearances,throw outs,goal kicks,clean sheets,goals conceded,errors leading to goal,own goals,yellow cards,red cards,fouls,goals,assists,passes,passes per match,accurate long balls
 Heurelho Gomes,121.0,3.0,66.0,62.0,18.0,24.0,178.0,378.0,11.0,49.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,957.0,25.18,345.0
 Kasper Schmeichel,99.0,0.0,22.0,47.0,15.0,46.0,82.0,324.0,15.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1146.0,30.16,333.0
 Lukasz Fabianski,115.0,0.0,34.0,81.0,15.0,20.0,204.0,300.0,9.0,51.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,1000.0,27.03,271.0
 Hugo Lloris,88.0,0.0,27.0,35.0,16.0,40.0,162.0,247.0,13.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,28.3,253.0
 Joe Hart,71.0,0.0,39.0,35.0,2.0,26.0,130.0,221.0,15.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,20.6,180.0
 Petr Cech,101.0,0.0,19.0,39.0,10.0,33.0,175.0,248.0,16.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,25.09,279.0
 David De Gea,83.0,0.0,13.0,20.0,6.0,18.0,106.0,287.0,15.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,854.0,25.12,260.0
 Simon Mignolet,70.0,1.0,17.0,32.0,15.0,32.0,134.0,228.0,11.0,42.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,803.0,23.62,192.0
 Artur Boruc,77.0,2.0,8.0,47.0,8.0,24.0,168.0,268.0,7.0,51.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,743.0,23.22,166.0
 Adrián,99.0,2.0,19.0,40.0,11.0,31.0,155.0,288.0,9.0,39.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,853.0,26.66,275.0
 Jack Butland,103.0,0.0,12.0,43.0,11.0,36.0,120.0,287.0,10.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,883.0,28.48,258.0
 Wayne Hennessey,80.0,0.0,3.0,32.0,7.0,17.0,107.0,247.0,8.0,36.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,758.0,26.14,221.0
 Brad Guzan,89.0,0.0,19.0,54.0,12.0,18.0,117.0,225.0,2.0,58.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,721.0,25.75,264.0
 John Ruddy,69.0,0.0,13.0,43.0,9.0,22.0,121.0,248.0,3.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,28.59,220.0
 Tim Howard,81.0,0.0,9.0,29.0,6.0,14.0,185.0,233.0,7.0,35.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,606.0,24.24,135.0
 Thibaut Courtois,67.0,1.0,19.0,32.0,13.0,14.0,118.0,168.0,5.0,29.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,523.0,22.74,133.0
 Boaz Myhill,65.0,0.0,12.0,30.0,11.0,12.0,57.0,206.0,7.0,31.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,604.0,26.26,205.0
 Robert Elliot,59.0,0.0,18.0,38.0,5.0,10.0,81.0,200.0,4.0,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,603.0,28.71,233.0
 Vito Mannone,74.0,0.0,12.0,31.0,9.0,18.0,62.0,168.0,4.0,23.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,559.0,29.42,148.0
 Fraser Forster,51.0,0.0,5.0,16.0,4.0,3.0,25.0,144.0,6.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,25.5,170.0
 Asmir Begovic,55.0,0.0,8.0,17.0,12.0,6.0,69.0,106.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,19.76,81.0
 Costel Pantilimon,71.0,0.0,6.0,23.0,7.0,22.0,60.0,152.0,3.0,33.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,497.0,29.24,148.0
 Maarten Stekelenburg,31.0,0.0,6.0,14.0,2.0,7.0,58.0,125.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,23.94,113.0
 Ben Foster,44.0,0.0,2.0,21.0,12.0,9.0,40.0,141.0,4.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,369.0,24.6,131.0
 Joel Robles,46.0,0.0,5.0,22.0,5.0,8.0,55.0,133.0,3.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,421.0,32.38,92.0
 Declan Rudd,34.0,0.0,7.0,15.0,0.0,5.0,37.0,97.0,2.0,23.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,295.0,26.82,86.0
 Mark Bunn,27.0,1.0,9.0,9.0,7.0,4.0,25.0,98.0,4.0,18.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,241.0,24.1,86.0
 Karl Darlow,23.0,1.0,9.0,20.0,2.0,8.0,29.0,76.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,23.89,76.0
 Tim Krul,33.0,0.0,4.0,7.0,5.0,4.0,27.0,72.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,32.38,80.0
 Alex McCarthy,32.0,0.0,1.0,8.0,3.0,2.0,10.0,71.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,29.14,63.0
 Adam Federici,13.0,0.0,4.0,3.0,2.0,2.0,22.0,31.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,18.0,36.0
 Darren Randolph,12.0,0.0,0.0,7.0,1.0,4.0,25.0,46.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,27.33,55.0
 Jakob Haugaard,11.0,0.0,3.0,10.0,2.0,5.0,15.0,39.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,25.6,55.0
 Willy Caballero,15.0,0.0,2.0,2.0,0.0,0.0,5.0,21.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,21.25,22.0
 David Ospina,17.0,0.0,1.0,3.0,2.0,3.0,16.0,29.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,27.5,35.0
 Sergio Romero,7.0,0.0,0.0,6.0,1.0,3.0,24.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,28.75,22.0
 Shay Given,7.0,0.0,0.0,1.0,1.0,2.0,7.0,24.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,19.33,31.0
 Adam Bogdan,2.0,0.0,1.0,2.0,0.0,1.0,9.0,17.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,19.5,11.0
 Paulo Gazzaniga,7.0,0.0,0.0,1.0,0.0,2.0,9.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,27.0,20.0
 Jordan Pickford,11.0,0.0,1.0,8.0,1.0,2.0,7.0,22.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,35.0,21.0
